country_region,province_state,date,confirmed,deaths,recovered,active
US,New York,2020-03-24,146,0,0,0
US,New York,2020-03-24,2,0,0,0
US,New York,2020-03-24,0,0,0,0
US,New York,2020-03-24,9,1,0,0
US,New York,2020-03-24,0,0,0,0
US,New York,2020-03-24,2,0,0,0
US,New York,2020-03-24,2,0,0,0
US,New York,2020-03-24,3,0,0,0
US,New York,2020-03-24,3,0,0,0
US,New York,2020-03-24,6,0,0,0
US,New York,2020-03-24,18,0,0,0
US,New York,2020-03-24,2,0,0,0
US,New York,2020-03-24,3,0,0,0
US,New York,2020-03-24,124,1,0,0
US,New York,2020-03-24,114,0,0,0
US,New York,2020-03-24,3,0,0,0
US,New York,2020-03-24,0,0,0,0
US,New York,2020-03-24,1,0,0,0
US,New York,2020-03-24,1,0,0,0
US,New York,2020-03-24,4,0,0,0
US,New York,2020-03-24,2,0,0,0
US,New York,2020-03-24,4,0,0,0
US,New York,2020-03-24,2,0,0,0
US,New York,2020-03-24,0,0,0,0
US,New York,2020-03-24,0,0,0,0
US,New York,2020-03-24,3,0,0,0
US,New York,2020-03-24,4,1,0,0
US,New York,2020-03-24,106,3,0,0
US,New York,2020-03-24,3,0,0,0
US,New York,2020-03-24,2869,9,0,0
US,New York,2020-03-24,14904,131,0,0
US,New York,2020-03-24,10,0,0,0
US,New York,2020-03-24,10,0,0,0
US,New York,2020-03-24,60,1,0,0
US,New York,2020-03-24,6,0,0,0
US,New York,2020-03-24,498,0,0,0
US,New York,2020-03-24,0,0,0,0
US,New York,2020-03-24,2,0,0,0
US,New York,2020-03-24,1,0,0,0
US,New York,2020-03-24,82,0,0,0
US,New York,2020-03-24,0,0,0,0
US,New York,2020-03-24,33,0,0,0
US,New York,2020-03-24,0,0,0,0
US,New York,2020-03-24,671,5,0,0
US,New York,2020-03-24,53,0,0,0
US,New York,2020-03-24,44,0,0,0
US,New York,2020-03-24,1,0,0,0
US,New York,2020-03-24,0,0,0,0
US,New York,2020-03-24,0,0,0,0
US,New York,2020-03-24,1,0,0,0
US,New York,2020-03-24,8,0,0,0
US,New York,2020-03-24,1880,17,0,0
US,New York,2020-03-24,23,0,0,0
US,New York,2020-03-24,1,0,0,0
US,New York,2020-03-24,16,0,0,0
US,New York,2020-03-24,35,0,0,0
US,New York,2020-03-24,0,39,0,0
US,New York,2020-03-24,2,0,0,0
US,New York,2020-03-24,3,0,0,0
US,New York,2020-03-24,6,0,0,0
US,New York,2020-03-24,3891,1,0,0
US,New York,2020-03-24,4,1,0,0
US,New York,2020-03-24,0,0,0,0
US,New York,2020-03-25,152,0,0,0
US,New York,2020-03-25,2,0,0,0
US,New York,2020-03-25,0,0,0,0
US,New York,2020-03-25,11,2,0,0
US,New York,2020-03-25,0,0,0,0
US,New York,2020-03-25,2,0,0,0
US,New York,2020-03-25,2,0,0,0
US,New York,2020-03-25,3,0,0,0
US,New York,2020-03-25,3,0,0,0
US,New York,2020-03-25,10,0,0,0
US,New York,2020-03-25,19,0,0,0
US,New York,2020-03-25,3,0,0,0
US,New York,2020-03-25,5,0,0,0
US,New York,2020-03-25,153,1,0,0
US,New York,2020-03-25,122,1,0,0
US,New York,2020-03-25,4,0,0,0
US,New York,2020-03-25,1,0,0,0
US,New York,2020-03-25,1,0,0,0
US,New York,2020-03-25,2,0,0,0
US,New York,2020-03-25,4,0,0,0
US,New York,2020-03-25,2,0,0,0
US,New York,2020-03-25,5,0,0,0
US,New York,2020-03-25,2,0,0,0
US,New York,2020-03-25,0,0,0,0
US,New York,2020-03-25,0,0,0,0
US,New York,2020-03-25,3,0,0,0
US,New York,2020-03-25,7,1,0,0
US,New York,2020-03-25,118,3,0,0
US,New York,2020-03-25,4,0,0,0
US,New York,2020-03-25,3285,17,0,0
US,New York,2020-03-25,17856,199,0,0
US,New York,2020-03-25,12,0,0,0
US,New York,2020-03-25,10,0,0,0
US,New York,2020-03-25,81,1,0,0
US,New York,2020-03-25,9,0,0,0
US,New York,2020-03-25,638,1,0,0
US,New York,2020-03-25,0,0,0,0
US,New York,2020-03-25,2,0,0,0
US,New York,2020-03-25,2,0,0,0
US,New York,2020-03-25,84,0,0,0
US,New York,2020-03-25,0,0,0,0
US,New York,2020-03-25,33,0,0,0
US,New York,2020-03-25,0,0,0,0
US,New York,2020-03-25,968,5,0,0
US,New York,2020-03-25,64,0,0,0
US,New York,2020-03-25,55,1,0,0
US,New York,2020-03-25,2,0,0,0
US,New York,2020-03-25,0,0,0,0
US,New York,2020-03-25,0,0,0,0
US,New York,2020-03-25,1,0,0,0
US,New York,2020-03-25,8,0,0,0
US,New York,2020-03-25,2260,20,0,0
US,New York,2020-03-25,39,0,0,0
US,New York,2020-03-25,1,0,0,0
US,New York,2020-03-25,18,0,0,0
US,New York,2020-03-25,65,0,0,0
US,New York,2020-03-25,0,31,0,0
US,New York,2020-03-25,2,0,0,0
US,New York,2020-03-25,4,0,0,0
US,New York,2020-03-25,7,0,0,0
US,New York,2020-03-25,4691,1,0,0
US,New York,2020-03-25,4,1,0,0
US,New York,2020-03-25,0,0,0,0
US,New York,2020-03-26,171,0,0,0
US,New York,2020-03-26,2,0,0,0
US,New York,2020-03-26,0,0,0,0
US,New York,2020-03-26,16,2,0,0
US,New York,2020-03-26,0,0,0,0
US,New York,2020-03-26,2,0,0,0
US,New York,2020-03-26,2,0,0,0
US,New York,2020-03-26,7,0,0,0
US,New York,2020-03-26,3,0,0,0
US,New York,2020-03-26,11,0,0,0
US,New York,2020-03-26,24,0,0,0
US,New York,2020-03-26,3,0,0,0
US,New York,2020-03-26,7,0,0,0
US,New York,2020-03-26,190,1,0,0
US,New York,2020-03-26,206,2,0,0
US,New York,2020-03-26,5,0,0,0
US,New York,2020-03-26,1,0,0,0
US,New York,2020-03-26,1,0,0,0
US,New York,2020-03-26,4,0,0,0
US,New York,2020-03-26,5,0,0,0
US,New York,2020-03-26,2,0,0,0
US,New York,2020-03-26,7,0,0,0
US,New York,2020-03-26,4,0,0,0
US,New York,2020-03-26,0,0,0,0
US,New York,2020-03-26,0,0,0,0
US,New York,2020-03-26,3,0,0,0
US,New York,2020-03-26,9,1,0,0
US,New York,2020-03-26,148,4,0,0
US,New York,2020-03-26,5,0,0,0
US,New York,2020-03-26,3914,17,0,0
US,New York,2020-03-26,21873,281,0,0
US,New York,2020-03-26,14,0,0,0
US,New York,2020-03-26,13,0,0,0
US,New York,2020-03-26,111,1,0,0
US,New York,2020-03-26,11,0,0,0
US,New York,2020-03-26,751,1,0,0
US,New York,2020-03-26,2,0,0,0
US,New York,2020-03-26,4,0,0,0
US,New York,2020-03-26,3,0,0,0
US,New York,2020-03-26,94,0,0,0
US,New York,2020-03-26,0,0,0,0
US,New York,2020-03-26,44,0,0,0
US,New York,2020-03-26,0,0,0,0
US,New York,2020-03-26,1197,5,0,0
US,New York,2020-03-26,73,0,0,0
US,New York,2020-03-26,62,1,0,0
US,New York,2020-03-26,2,0,0,0
US,New York,2020-03-26,0,0,0,0
US,New York,2020-03-26,0,0,0,0
US,New York,2020-03-26,4,0,0,0
US,New York,2020-03-26,11,0,0,0
US,New York,2020-03-26,2735,22,0,0
US,New York,2020-03-26,53,0,0,0
US,New York,2020-03-26,2,0,0,0
US,New York,2020-03-26,23,0,0,0
US,New York,2020-03-26,78,0,0,0
US,New York,2020-03-26,0,45,0,0
US,New York,2020-03-26,2,0,0,0
US,New York,2020-03-26,4,0,0,0
US,New York,2020-03-26,8,0,0,0
US,New York,2020-03-26,5944,1,0,0
US,New York,2020-03-26,7,1,0,0
US,New York,2020-03-26,0,0,0,0
US,New York,2020-03-27,187,0,0,0
US,New York,2020-03-27,2,0,0,0
US,New York,2020-03-27,0,0,0,0
US,New York,2020-03-27,18,2,0,0
US,New York,2020-03-27,0,0,0,0
US,New York,2020-03-27,2,0,0,0
US,New York,2020-03-27,2,0,0,0
US,New York,2020-03-27,11,0,0,0
US,New York,2020-03-27,4,0,0,0
US,New York,2020-03-27,11,0,0,0
US,New York,2020-03-27,27,0,0,0
US,New York,2020-03-27,4,0,0,0
US,New York,2020-03-27,8,0,0,0
US,New York,2020-03-27,225,1,0,0
US,New York,2020-03-27,245,5,0,0
